model,target_type,location,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,relative_skill,scaled_rel_skill
ILM-EKF,Cases,DE,2,57421.2925404945,22416.4221227622,10572.3299232737,24432.5404944587,-0.0783120204603581,0.11078431372549,89281.1960784314,0.918016667218117,0.950817375189441
ILM-EKF,Cases,DE,3,118819.459190111,43507.6424808184,20886.7092924126,54425.1074168798,-0.0783120204603581,0.132352941176471,176087.117647059,1.07339603390017,1.26556797233546
ILM-EKF,Cases,DE,4,214821.847885763,77519.5759335038,35397.3657289003,101904.906223359,-0.112412617220801,0.123333333333333,312486.568627451,1.28585254478733,1.74266010206983
ILM-EKF,Deaths,DE,1,130.677229326513,104.104339300938,4.59590792838875,21.9769820971867,0.220068201193521,0.125098039215686,128.627450980392,1.1209436103005,1.24744418063795
ILM-EKF,Deaths,DE,2,232.164612105712,153.544833759591,10.076726342711,68.5430520034101,0.110946291560102,0.142156862745098,290.137254901961,1.07021947496325,1.12823931513302
ILM-EKF,Deaths,DE,3,361.249411764706,213.886240409207,12.0494458653026,135.313725490196,0.0393350383631714,0.164901960784314,474.725490196079,1.17563046601515,1.2801711614458
ILM-EKF,Deaths,DE,4,558.100400682012,301.740639386189,19.1244671781756,237.235294117647,-0.0220460358056266,0.17078431372549,768.980392156863,1.34122041496426,1.6206897463324
ILM-EKF,Cases,FR,1,71472.4912521739,12330.0608173913,16751.76,42390.6704347826,-0.150434782608696,-0.0166,99568.42,0.815866765996971,0.680388381721378
ILM-EKF,Cases,FR,2,179529.309765217,34070.5462869565,21789.26,123669.503478261,-0.153913043478261,-0.0312,249568,0.976396734741671,0.889402364804104
ILM-EKF,Cases,FR,3,398981.984321739,78365.0130173913,33538.1521739131,287078.819130435,-0.193913043478261,-0.0152,563662.18,1.14068763201127,1.16488245215413
ILM-EKF,Cases,FR,4,816745.0112,178091.954678261,46699.7895652174,591953.266956522,-0.195652173913043,-0.0242,1147425.34,1.40298817267696,1.46162485943239
ILM-EKF,Deaths,FR,1,160.429626086957,133.006147826087,10.975652173913,16.4478260869565,0.235652173913044,0.058,149.94,0.905574625966879,1.03924816280685
ILM-EKF,Deaths,FR,2,275.217034782609,208.823991304348,8.21478260869565,58.1782608695652,0.178260869565217,0.084,302.32,1.11816999372281,1.06046795170481
